university,label,label_name,definition,related_text,context_file,gold,annotator_note
Ontario Tech University,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Mobility impairments (wheelchair/scooter use, difficulty walking/climbing stairs, temporary injuries) | Email all of your documents to studentaccessibility@ontariotechu.ca with the subject line Admissions Consideration. In the body of your email include your full name, student number and OUAC ID. | Email all of your documents to studentaccessibility@ontariotechu.ca with the subject line Admissions Consideration.",context/Ontario_Tech_University.txt,0,"only 'navigation tools' mentioned, no physical-accessibility claim or named features"
University of Ottawa,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Supports Cognitive (ADHD, autism), Mental health (Anxiety, depression), Sensory (Visual impairments), Physical (Wheelchair), Medical (Epilepsy) disabilities. | Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries | All programs offer accommodations (exam time, note-taking, adaptive tech, tailored plans or functional assessments, alternate software/lab access",context/University_of_Ottawa.txt,0,no building-accessibility claim or named features found
University of Toronto Scarborough,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Accessible campus: ramps, elevators, automatic doors, accessible parking | Campus accessibility bursaries listed by SBA (e.g., Allan Angus Rodgers Wheelchair Athletes' Fund, Anita Garbarino Girard Award) | Accessible classrooms/buildings",context/University_of_Toronto_Scarborough.txt,1,"explicit 'ramps, elevators, automatic doors'"
University of Waterloo,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Accessible entrances, buildings, and classrooms | Examples: Wheelchair or scooter users; difficulty walking long distances or navigating stairs; conditions like limb loss or muscular dystrophy | Complete the AccessAbility Services' online application to begin the registration process (this will take approximately 5-10 minutes to complete). If you have a University of Waterloo Verification Form or alternate documentation in your possession, upload it with your application. It's okay if you don't have documentation. Apply if you believe you need accommodations",context/University_of_Waterloo.txt,1,"explicit 'Accessible entrances, buildings, and classrooms'"
Université de l'Ontario français,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Physical accommodations such as accessible entries, elevators, restrooms, and service-animal access | Ongoing development of accessibility plans, staff training, and progress reporting | Campus committed to ongoing improvement in accessibility",context/Université_de_l_Ontario_français.txt,1,"explicit 'accessible entries, elevators, restrooms'"
York University (Glendon),accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss. | Alternate formats: Braille, large print, audio, accessible PDFs",context/York_University_Glendon.txt,1,"explicit 'accessible buildings and classrooms' -- general claim, counts under v2"
Lakehead University,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Accessible campus: ramps, elevators, washrooms, housing | Extra time, breaks, and quiet exam rooms | Participate in SAS Procedures - Students requesting or registered with academic accommodations through Student Accessibility Services (SAS) have a duty to participate in the accommodation process by following SAS timeline requests: including but not limited to regularly checking your @lakeheadu.ca student email, completing the accommodation request form at the beginning of each term, booking tests, or requesting alternate dates/start times for tests according to the SAS timelines.",context/Lakehead_University.txt,1,housing named alongside accessibility features
University of Guelph,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Adaptive technology lab (screen readers, others), quiet study rooms with accessibility features | Help with accessible housing and campus navigation | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations",context/University_of_Guelph.txt,1,explicit 'Help with accessible housing' -- counts under v2's help-arranging clause
University of Guelph-Humber,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Adaptive technology lab (screen readers, others), quiet study rooms with accessibility features | Help with accessible housing and campus navigation | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations",context/University_of_Guelph-Humber.txt,1,same shared text as Guelph -- 'Help with accessible housing'
University of Toronto Mississauga,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Exam accommodations: quiet rooms, alternate formats | Accessible classrooms/buildings | Adjustable classroom furniture",context/University_of_Toronto_Mississauga.txt,0,no housing mention anywhere
