university,label,label_name,definition,related_text,context_file,gold,annotator_note
Algoma University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.","One-on-one counselling services | At this appointment, we will review your documents together, and discuss the academic accommodations that would best support you. | Additionally, they support other disability types (brain injury, ADHD, etc.)",context/Algoma_University.txt,,
Algoma University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Mobility impairments (e.g. wheelchair/scooter use, difficulty with walking/gaining balance) | One-on-one counselling services",context/Algoma_University.txt,,
Algoma University,format_braille,Braille materials,Course materials produced in Braille.,"Alternate formats: audio, Braille, large print, PDFs",context/Algoma_University.txt,,
Algoma University,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Students with a permanent or persistent/prolonged disability: If you have a documented disability, you can be considered full-time for OSAP purposes if you are taking 40% or more of a full course load (e.g., 1.0 credit or more per term for undergraduate students). You also have the option to apply as a part-time student._x000B__x000B_ | Full-time OSAP: You're considered full-time for OSAP if you're taking 60% or more of a full course load. This generally translates to 1.5 credits or more per term for undergraduate students._x000B__x000B_ | Part-time OSAP: You apply for part-time OSAP if your course load is between 20% and 59% of a full course load (or less than 40% if you have a disability).",context/Algoma_University.txt,,
Brock University,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Campus accessible housing and facilities (ramps, elevators, washrooms) | Exam support: extra time, breaks, quiet/private rooms | An Ontario resident: This is usually based on where you have lived for the past 12 consecutive months, excluding time spent as a full-time post-secondary student.",context/Brock_University.txt,,
Brock University,accessible_parking_transit,Accessible parking or transit,"Accessible parking, campus shuttle or paratransit support. Parking listed among a school's accessible campus facilities counts; a permit scheme need not be named.","Campus accessible housing and facilities (ramps, elevators, washrooms) | Campus Security (24/7): 905‑688‑5550 ext. 3200 | Alternate formats: audio, large-print, accessible PDFs, Braille",context/Brock_University.txt,,
Brock University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Mobility impairments: wheelchair or scooter use, difficulty walking or climbing stairs, temporary injuries or surgery recovery | Open door single session counselling | In-person or online 1:1 counselling",context/Brock_University.txt,,
Brock University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Register via intake meeting and manage accommodations each term online | A Canadian citizen, Permanent Resident, or Protected Person: International students are not eligible for OSAP. | Personalized accommodation plans based on your needs",context/Brock_University.txt,,
Carleton University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Brief individual counselling | Attention deficit / Hyperactivity Disorder (ADHD): copy of your latest comprehensive psychoeducational assessment (completed by a registered psychologist or psychological associate), an assessment completed within the last 5 years (or at the age of 18 years or older), PMC Documentation of ADHD Form completed by a regulated health care practitioner | Autism Spectrum Disorders: Psycho-educational assessment (PEA) (completed within the last 5 years or performed using adult-normed tests), PMC ASD documentation Form (completed by a regulated health care practitioner who can confirm diagnosis and provide information on current functional limitations)",context/Carleton_University.txt,,
Carleton University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Complete the AFI and Intake Consent From - You will receive a confirmation email to your CMAIL with details of your appointment 1-3 business days prior to your scheduled appointment. The email will include instructions on the completion of the Intake Consent Form and the Assessment of Functional Impairment (AFI) questionnaire which must be completed prior to your appointment. | Mobility impairments (e.g., wheelchair/scooter users, difficulty walking, climbing stairs, temporary injuries) | Walker Wood Entrance Awards",context/Carleton_University.txt,,
