university,label,label_name,definition,related_text,context_file,gold,annotator_note
Western University (Main Campus),bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",External Scholarships via NEADS database,context/Western_University_Main_Campus.txt,,
University of Toronto Mississauga,format_accessible_digital,Accessible digital formats,"Screen-reader-compatible PDFs, e-text and other digital alternates.","Exam accommodations: quiet rooms, alternate formats | Exam accommodations: extra time, alternate formats | Alternative transportation access",context/University_of_Toronto_Mississauga.txt,,
Queen's University,accessible_buildings,Physically accessible buildings,"v2: a general accessibility claim now counts. Under v1 ('ramps, elevators, automatic doors, accessible washrooms') near-identical text was judged both ways.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Mobility impairments: wheelchair/scooter users, difficulty with stairs or walking long distances, temporary injuries | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss.",context/Queen_s_University.txt,,
University of Windsor,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Exam accommodations: extra time, breaks, quiet/private rooms, readers/scribes | Exam accommodations: extra time, breaks, quiet/private rooms | Accessible housing and exam centre support",context/University_of_Windsor.txt,,
Wilfrid Laurier University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Registration and Documentation - (Review Disability Documentation Requirements - If applicable, review Interim Accommodations, UW Double Degree, or Service Animals. - Complete the Accessible Learning Registration Form - Submit your documentation. - Promptly respond to messages from Accessible Learning in your myLaurier inbox about next steps.) | If applicable, review Interim Accommodations, UW Double Degree, or Service Animals. | Meet Your Accessible Learning Consultant - (If Accessible Learning determines you are eligible for support after reviewing your registration form and documentation, we will email your @mylaurier email address about meeting with an Accessible Learning consultant.)",context/Wilfrid_Laurier_University.txt,,
Laurentian University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Same-day individual counselling | Virtual counselling | Group counselling,context/Laurentian_University.txt,,
Algoma University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Personalized accommodation plans for each student | Students with a permanent or persistent/prolonged disability: If you have a documented disability, you can be considered full-time for OSAP purposes if you are taking 40% or more of a full course load (e.g., 1.0 credit or more per term for undergraduate students). You also have the option to apply as a part-time student._x000B__x000B_ | Full-time OSAP: You're considered full-time for OSAP if you're taking 60% or more of a full course load. This generally translates to 1.5 credits or more per term for undergraduate students._x000B__x000B_",context/Algoma_University.txt,,
University of Guelph,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Note-taking, lecture recording, and seating accommodations | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | The University of Guelph's classification for OSAP purposes is crucial:",context/University_of_Guelph.txt,,
Brock University,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Campus accessible housing and facilities (ramps, elevators, washrooms) | Exam support: extra time, breaks, quiet/private rooms | An Ontario resident: This is usually based on where you have lived for the past 12 consecutive months, excluding time spent as a full-time post-secondary student.",context/Brock_University.txt,,
McMaster University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, accessible PDF | Deaf or hard of hearing: Full audiology report, doctor’s letter; Within the last five years (older documentation considered on a case-by-case basis). | Central auditory processing disorder: Audiology report; Within the last five years (older documentation considered on a case-by-case basis).",context/McMaster_University.txt,,
