university,label,label_name,definition,related_text,context_file,gold (1/0),annotator_note
Algoma University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",One-on-one counselling services | Support for ADHD and mental health conditions | Note-taking support and lecture recording available,context/Algoma_University.txt,0,"only 1:1 counselling listed, no group/workshop format"
Algoma University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","One-on-one counselling services | Mobility impairments (e.g. wheelchair/scooter use, difficulty with walking/gaining balance)",context/Algoma_University.txt,0,crisis intervention listed but not explicit same-day/drop-in
Algoma University,format_braille,Braille materials,Course materials produced in Braille.,"Alternate formats: audio, Braille, large print, PDFs",context/Algoma_University.txt,1,
Algoma University,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Special Bursary Program (part‑time) | Extra time, breaks, and quiet rooms for exams | Extra time, breaks, and quiet rooms for exams",context/Algoma_University.txt,0,no mention of captioning/CART; note-taking is a different accommodation
Algoma University,transition_program,Transition programme,Structured support for the high-school-to-university transition.,Special Bursary Program (part‑time) | Support for ADHD and mental health conditions | Note-taking support and lecture recording available,context/Algoma_University.txt,0,no mention of orientation or transition support
Brock University,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.","Campus accessible housing and facilities (ramps, elevators, washrooms) | Campus Security (24/7): 905‑688‑5550 ext. 3200 | Alternate formats: audio, large-print, accessible PDFs",context/Brock_University.txt,0,"only housing/facilities accessibility mentioned, no parking/transit"
Brock University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","In-person or online 1:1 counselling | Open door single session counselling | Mobility impairments: wheelchair or scooter use, difficulty walking or climbing stairs, temporary injuries or surgery recovery",context/Brock_University.txt,1,explicit 'Open door single session counselling'
Brock University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Register via intake meeting and manage accommodations each term online | Register via intake meeting and manage accommodations each term online | Able to demonstrate financial need: Your and your family's (if applicable) financial information will be assessed to determine your level of need.,context/Brock_University.txt,1,explicit 'manage accommodations each term online'
Brock University,transition_program,Transition programme,Structured support for the high-school-to-university transition.,Support for physical and temporary conditions | Note-taking support and lecture recording options | Note-taking support and lecture recording options,context/Brock_University.txt,0,no mention of orientation/transition support
Carleton University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Brief individual counselling | personality disorders | Single-session counselling,context/Carleton_University.txt,1,explicit 'Brief individual counselling'
Carleton University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.",Single-session counselling | Walker Wood Entrance Awards | Brief individual counselling,context/Carleton_University.txt,0,"single-session only, no walk-in/same-day language"
Carleton University,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Carleton_University.txt,0,no mention of assignment deadline flexibility
Carleton University,format_braille,Braille materials,Course materials produced in Braille.,"Alternate formats: audio, Braille, accessible PDFs",context/Carleton_University.txt,1,
Carleton University,format_large_print,Large print materials,Enlarged-text versions of course materials.,(nothing lexically related -- check the context file),context/Carleton_University.txt,0,format lists never mention large print
Carleton University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Personalized accommodation plans created each term | Personalized accommodation plans created each term | Temporary accommodations for short-term conditions,context/Carleton_University.txt,1,explicit 'created each term'
Lakehead University,accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Accessible campus: ramps, elevators, washrooms, housing | Extra time, breaks, and quiet exam rooms | Extra time, breaks, and quiet exam rooms",context/Lakehead_University.txt,0,"generic campus housing mention, not adapted residence specifics"
Lakehead University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.","Note-taking support and lecture recording available | Note-taking support and lecture recording available | Support for learning, mental health, and temporary conditions",context/Lakehead_University.txt,0,explicitly '1:1' counselling only
Lakehead University,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",Note-taking support and lecture recording available | Note-taking support and lecture recording available,context/Lakehead_University.txt,1,
Lakehead University,screen_reader,Screen readers,Screen reading software named specifically.,"Assistive tech: screen readers, memory aids | Assistive tech: screen readers, magnifiers, memory aids",context/Lakehead_University.txt,1,explicit 'screen readers'
