university,label,label_name,definition,related_text,context_file,gold,annotator_note
Algoma University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",External Awards for Students with Disabilities (internal listing) | Special Bursary Program (part‑time),context/Algoma_University.txt,,
Algoma University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"At this appointment, we will review your documents together, and discuss the academic accommodations that would best support you. | Confidential service; no diagnosis disclosure needed | Students with a permanent or persistent/prolonged disability: If you have a documented disability, you can be considered full-time for OSAP purposes if you are taking 40% or more of a full course load (e.g., 1.0 credit or more per term for undergraduate students). You also have the option to apply as a part-time student._x000B__x000B_",context/Algoma_University.txt,,
Algoma University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Students with a permanent or persistent/prolonged disability: If you have a documented disability, you can be considered full-time for OSAP purposes if you are taking 40% or more of a full course load (e.g., 1.0 credit or more per term for undergraduate students). You also have the option to apply as a part-time student._x000B__x000B_ | Part-time OSAP: You apply for part-time OSAP if your course load is between 20% and 59% of a full course load (or less than 40% if you have a disability). | Enrolled in an eligible course load (full-time or part-time, as defined by OSAP).",context/Algoma_University.txt,,
Brock University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",SAS Disability‑Related Bursary Funding,context/Brock_University.txt,,
Carleton University,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","FIVE: Attend your intake appointment - When requesting an intake appointment, you have the options of selecting an in-person or a virtual meeting with a PMC Coordinator. (If you’re attending an in-person intake appointment, please note that the Paul Menton Centre is located in Room 501 of the Nideyinàn Building (NN). | Extra time, breaks, and quiet rooms for exams | Ontario Resident: You must be an Ontario resident. This is typically determined by where you have lived for the past 12 consecutive months, not including time spent as a full-time post-secondary student._x000B__x000B_",context/Carleton_University.txt,,
McMaster University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Part-time: Enrolled in between 20% and 59% of a 100% course load for your program in each term. | Full-time: Enrolled in at least 60% of a 100% course load for your program in each term. Co-op work terms are always considered a 100% course load. | OSAP for Full-Time Students and OSAP for Part-Time Students are separate programs and require separate applications. So if you receive full-time OSAP one term and drop to part-time studies the next term, you’ll need to do a new application for part-time OSAP.",context/McMaster_University.txt,,
McMaster University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Alternate formats (large-print, digital text)",context/McMaster_University.txt,,
Nipissing University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, Braille, PDFs | Alternate formats: audio, large print, PDFs | An Accessibility Consultant meets with the student to discuss their accommodation needs. Appointments are available via audio/video conferencing, telephone or in person on campus.",context/Nipissing_University.txt,,
Nipissing University,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"An Accessibility Consultant will review the documentation and will contact the student with next steps and/or to schedule an Intake Appointment. | ADHD: Psycho-educational assessment (completed by a registered psychologist), SAS Medical Documentation form for Mental Health and ADHD (by a qualified healthcare professional with experience in the diagnosis and treatment of ADHD is required) | Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP.",context/Nipissing_University.txt,,
Ontario Tech University,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"Confidential service; diagnosis not shared with instructors | Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP. | A verification of accommodations form indicating whether or not you received disability accommodations (e.g. accommodation plan, IEP, IPRC, etc.). This form must be completed by an authorized professional and can be submitted either directly by the institution or by you.",context/Ontario_Tech_University.txt,,
TMU,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss. | Alternate formats: accessible PDFs, audio, large print",context/TMU.txt,,
TMU,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources. | Quiet, private or low-sensory exam rooms",context/TMU.txt,,
TMU,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Canadian Citizen, Permanent Resident, or Protected Person: You must be one of these to be eligible for OSAP. International students are not eligible. | contact 416-979-5195 or csdc@torontomu.ca for counselling services | Canadian Foundation for Physically Disabled Persons Disability Studies Award",context/TMU.txt,,
Trent University,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"Confidential service; diagnosis not shared with instructors | Criteria regarding age of documentation is specific to the nature of a person's disability, and is outlined on the Documentation Requirements section of the school website. | Review the documentation requirements - Your documentation needs to be as recent as possible, and must outline the functional limitations of your disability.",context/Trent_University.txt,,
Trent University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, Braille, large print, PDFs | Alternate formats: audio, large print, PDFs | We appreciate your patience while we review your information and match you with the appropriate Advisor.",context/Trent_University.txt,,
Trent University (Durham GTA),accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Exam support: extra time, breaks, quiet/private rooms | Ontario Resident: You must be an Ontario resident. This is typically defined by having lived in Ontario for the past 12 consecutive months, not including time spent as a full-time post-secondary student. | Citizenship/Status: You must be a Canadian citizen, Permanent Resident of Canada, or a Protected Person. International students are not eligible for OSAP.",context/Trent_University_Durham_GTA.txt,,
University of Guelph-Humber,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Orientation programs (START Accessible), peer mentoring, coaching for academic and life skills | One-on-one advisor support and peer coaching | Orientation & Peer Assistance",context/University_of_Guelph-Humber.txt,,
University of Ottawa,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.","Physical Disability: Occupational Therapist or Physical Therapy Assessment in conjunction with the Academic Accommodations medical certificate that is completed by a family physician or specialized physician, Academic Accommodations Documentation of Physical or Chronic Condition (PDF) | Ontario Structured Psychotheraphy (OSP) | Supports Cognitive (ADHD, autism), Mental health (Anxiety, depression), Sensory (Visual impairments), Physical (Wheelchair), Medical (Epilepsy) disabilities.",context/University_of_Ottawa.txt,,
University of Ottawa,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Physical Disability: Occupational Therapist or Physical Therapy Assessment in conjunction with the Academic Accommodations medical certificate that is completed by a family physician or specialized physician, Academic Accommodations Documentation of Physical or Chronic Condition (PDF) | Ontario Structured Psychotheraphy (OSP) | Vision Loss or Impairment: Academic Accommodations Documentation of Vision or Hearing Impairment (PDF), CNIB Vision Assessment, CNIB Card (for interim academic accommodations of one term)",context/University_of_Ottawa.txt,,
University of Ottawa,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Same-day intake appointments | Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries",context/University_of_Ottawa.txt,,
University of Toronto Mississauga,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,Deadline extensions | Flexible attendance,context/University_of_Toronto_Mississauga.txt,,
University of Toronto Mississauga,format_braille,Braille materials,Course materials produced in Braille.,Large-print or Braille materials,context/University_of_Toronto_Mississauga.txt,,
University of Toronto Mississauga,format_large_print,Large print materials,Enlarged-text versions of course materials.,Large-print or Braille materials,context/University_of_Toronto_Mississauga.txt,,
University of Toronto Mississauga,realtime_captioning,Captioning of spoken course content,"The institution offers captioning or transcription of spoken course content -- live/CART, or transcription of recorded material. Deliberately phrased as a claim about the service, not about wording: a captioning mention that is not an offer of service (a policy reference, or something the student must arrange themselves) does not count, and a school that describes the service without the word 'real-time' still does.","Real-time captioning (CART) | Lecture support: note-taking, captioning upon request | Lecture support: ASL, captioning upon request",context/University_of_Toronto_Mississauga.txt,,
University of Toronto Scarborough,format_audio,Audio format materials,Course materials in audio form.,"Accessible formats (PDFs, audio) | Exam accommodations: quiet rooms, alternate formats",context/University_of_Toronto_Scarborough.txt,,
University of Toronto St.George,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"The accessibility advisor will review your Student Intake Package and discuss any barriers or difficulties you have been experiencing in your academic progress to develop effective accommodations. | Student Accessibility Services (SAS): Central office for registering and managing accommodations. | Exam accommodations: extra time, private room, assistive tech",context/University_of_Toronto_St.George.txt,,
